name,year,Domestic Gross,Overseas Gross,Worldwide Gross
The Mighty Macs,2009,"1,864,952",0,"1,864,952"
Under the Silver Lake,2018,"46,083","1,818,370","1,864,453"
A Quiet Passion,2016,"1,864,266",0,"1,864,266"
A Better Life,2011,"1,759,252","104,167","1,863,419"
Bitter Moon,1992,"1,862,805",0,"1,862,805"
Love on the Run,1936,"1,140,000","721,000","1,861,000"
Aanrijding in Moscou,2008,0,"1,857,801","1,857,801"
El pacto,2018,"1,453","1,852,133","1,853,586"
Roman de gare,2007,"1,851,114",0,"1,851,114"
3:10 to Yuma,1957,"1,850,000",0,"1,850,000"
Tali-Ihantala 1944,2007,0,"1,849,752","1,849,752"
Harrison's Flowers,2000,"1,843,570",0,"1,843,570"
Climax,2018/I,"817,339","1,025,785","1,843,124"
Heavenly Bodies,1984,"1,839,623",0,"1,839,623"
The Hallow,2015,"8,967","1,829,960","1,838,927"
Goodbye Emmanuelle,1977,0,"1,836,563","1,836,563"
Henry Poole Is Here,2008,"1,836,515",0,"1,836,515"
Toilet - Ek Prem Katha,2017,"1,830,715",0,"1,830,715"
Crooked Arrows,2012,"1,830,475",0,"1,830,475"
Poison Ivy,1992,"1,829,804",0,"1,829,804"
"Kiss Me, Guido",1997,"1,828,284",0,"1,828,284"
Neil Young: Heart of Gold,2006,"1,827,544",0,"1,827,544"
Kismet,1955,"1,217,000","610,000","1,827,000"
Dracula père et fils,1976,0,"1,826,713","1,826,713"
Rudo y Cursi,2008,"1,826,674",0,"1,826,674"
The Story of Vernon and Irene Castle,1939,"1,120,000","705,000","1,825,000"
Monsieur Verdoux,1947,"325,000","1,500,000","1,825,000"
The Forbidden Dance,1990,"1,823,154",0,"1,823,154"
Salaam-E-Ishq,2007,"1,822,582",0,"1,822,582"
The Butcher Boy,1997,"1,822,193",0,"1,822,193"
Testament of Youth,2014,"1,822,030",0,"1,822,030"
Tusk,2014,"1,821,983",0,"1,821,983"
Monty Python and the Holy Grail,1975,"1,821,082",0,"1,821,082"
The Buddy System,1984,"1,820,049",0,"1,820,049"
The Last Tycoon,1976,"1,819,912",0,"1,819,912"
Kinky Boots,2005,"1,819,454",0,"1,819,454"
Exposed,1983,"1,818,910",0,"1,818,910"
Harry Brown,2009,"1,818,681",0,"1,818,681"
Carny,1980,"1,817,720",0,"1,817,720"
The Vigil,2019,"42,116","1,775,122","1,817,238"
Gojira tai Hedora,1971,0,"1,816,025","1,816,025"
