name,year,Domestic Gross,Overseas Gross,Worldwide Gross
Avengers: Endgame,2019,"858,373,000","1,937,000,000","2,795,373,000"
Titanic,1997,"659,363,944","1,528,100,002","2,187,463,946"
Star Wars: Episode VII - The Force Awakens,2015,"936,662,225","1,131,516,000","2,068,178,225"
Avengers: Infinity War,2018,"678,815,482","1,346,000,000","2,024,815,482"
Jurassic World,2015,"652,270,625","1,018,130,010","1,670,400,635"
The Lion King,2019,"543,638,043","1,092,000,000","1,635,638,043"
The Avengers,2012,"623,357,910","896,200,000","1,519,557,910"
Furious Seven,2015,"353,007,020","1,163,038,890","1,516,045,910"
Top Gun: Maverick,2022,"713,776,720","740,000,000","1,453,776,720"
Avengers: Age of Ultron,2015,"459,005,868","946,408,000","1,405,413,868"
Spider-Man: No Way Home,2021,"814,108,407","587,000,000","1,401,108,407"
Frozen II,2019,"477,373,578","875,300,000","1,352,673,578"
Black Panther,2018,"700,059,566","646,900,000","1,346,959,566"
Harry Potter and the Deathly Hallows: Part 2,2011,"381,011,219","960,500,001","1,341,511,220"
Star Wars: Episode VIII - The Last Jedi,2017,"620,181,382","712,000,000","1,332,181,382"
Frozen,2013/I,"400,738,009","875,742,326","1,276,480,335"
Beauty and the Beast,2017,"504,014,165","759,506,961","1,263,521,126"
The Fate of the Furious,2017,"225,764,765","1,013,000,000","1,238,764,765"
Iron Man Three,2013,"409,013,994","806,426,000","1,215,439,994"
Minions,2015,"336,045,770","827,489,131","1,163,534,901"
Captain America: Civil War,2016,"408,084,349","745,220,146","1,153,304,495"
Transformers: Dark of the Moon,2011,"352,390,543","771,356,457","1,123,747,000"
The Lord of the Rings: The Return of the King,2003,"377,845,905","742,083,616","1,119,929,521"
Skyfall,2012,"304,360,277","804,200,736","1,108,561,013"
Transformers: Age of Extinction,2014,"245,439,076","858,600,000","1,104,039,076"
The Dark Knight,2008,"534,858,444","569,000,000","1,103,858,444"
The Dark Knight Rises,2012,"448,139,099","636,800,000","1,084,939,099"
Jurassic Park,1993,"402,453,882","675,000,000","1,077,453,882"
Captain Marvel,2019,"426,829,839","644,500,000","1,071,329,839"
Pirates of the Caribbean: Dead Man's Chest,2006,"423,315,812","642,863,913","1,066,179,725"
Rogue One,2016,"533,539,991","529,000,000","1,062,539,991"
Toy Story 3,2010,"415,004,880","635,700,000","1,050,704,880"
Pirates of the Caribbean: On Stranger Tides,2011,"241,071,802","804,642,000","1,045,713,802"
Star Wars: The Rise of Skywalker,2019,"515,202,542","519,700,000","1,034,902,542"
Despicable Me 3,2017,"264,624,300","766,116,761","1,030,741,061"
Finding Dory,2016,"486,295,561","542,275,328","1,028,570,889"
Star Wars: Episode I - The Phantom Menace,1999,"474,544,677","552,500,000","1,027,044,677"
Alice in Wonderland,2010/I,"334,191,110","691,276,000","1,025,467,110"
Zootopia,2016,"341,268,248","682,515,947","1,023,784,195"
The Hobbit: An Unexpected Journey,2012,"303,003,568","718,100,000","1,021,103,568"
Joker,2019,"335,451,311","671,200,000","1,006,651,311"
The Lion King,1994,"422,783,777","564,700,000","987,483,777"
Harry Potter and the Sorcerer's Stone,2001,"317,575,550","657,179,821","974,755,371"
Despicable Me 2,2013,"368,061,265","602,700,620","970,761,885"
The Jungle Book,2016,"364,001,123","602,549,477","966,550,600"
Pirates of the Caribbean: At World's End,2007,"309,420,425","654,000,000","963,420,425"
The Hobbit: The Desolation of Smaug,2013,"258,366,855","702,000,000","960,366,855"
Harry Potter and the Deathly Hallows: Part 1,2010,"295,983,305","664,300,000","960,283,305"
The Hobbit: The Battle of the Five Armies,2014,"255,119,788","700,900,000","956,019,788"
Doctor Strange in the Multiverse of Madness,2022,"411,331,607","538,037,998","949,369,605"
Harry Potter and the Order of the Phoenix,2007,"292,004,738","647,881,191","939,885,929"
Finding Nemo,2003,"380,843,261","555,900,000","936,743,261"
Harry Potter and the Half-Blood Prince,2009,"301,959,197","632,457,290","934,416,487"
The Lord of the Rings: The Two Towers,2002,"342,551,365","583,495,746","926,047,111"
Shrek 2,2004,"436,471,036","483,367,722","919,838,758"
Sing,2016,"270,329,045","634,000,000","904,329,045"
Zhang jin hu,2021,0,"902,000,000","902,000,000"
Harry Potter and the Goblet of Fire,2005,"290,013,036","606,898,042","896,911,078"
Spider-Man 3,2007,"336,530,303","554,341,323","890,871,626"
Ice Age: Dawn of the Dinosaurs,2009,"196,573,705","690,113,112","886,686,817"
Spectre,2015/I,"200,074,175","680,600,000","880,674,175"
Spider-Man: Homecoming,2017,"334,201,140","546,070,584","880,271,724"
Ice Age: Continental Drift,2012,"161,321,843","718,443,294","879,765,137"
The Secret Life of Pets,2016,"368,384,330","507,073,607","875,457,937"
Batman v Superman: Dawn of Justice,2016,"330,360,194","542,900,000","873,260,194"
The Lord of the Rings: The Fellowship of the Ring,2001,"315,544,750","555,900,000","871,444,750"
Harry Potter and the Chamber of Secrets,2002,"261,988,482","605,037,691","867,026,173"
The Hunger Games: Catching Fire,2013,"424,668,047","440,244,916","864,912,963"
Guardians of the Galaxy Vol. 2,2017,"389,813,101","473,752,426","863,565,527"
Inside Out,2015/I,"356,461,711","501,149,463","857,611,174"
Star Wars: Episode III - Revenge of the Sith,2005,"380,262,555","468,484,191","848,746,746"
Transformers: Revenge of the Fallen,2009,"402,111,870","434,191,823","836,303,693"
The Twilight Saga: Breaking Dawn - Part 2,2012,"292,298,923","540,361,114","832,660,037"
Inception,2010,"292,576,195","532,956,569","825,532,764"
Venom,2018,"213,511,408","610,800,000","824,311,408"
Thor: Ragnarok,2017,"315,058,289","508,822,896","823,881,185"
Wonder Woman,2017,"412,563,408","409,200,000","821,763,408"
Spider-Man,2002,"403,706,375","418,002,176","821,708,551"
Independence Day,1996,"306,169,268","511,231,623","817,400,891"
Fantastic Beasts and Where to Find Them,2016,"234,037,575","580,000,000","814,037,575"
Suicide Squad,2016,"383,708,522","421,746,840","805,455,362"
Shrek the Third,2007,"320,706,665","478,251,497","798,958,162"
E.T. the Extra-Terrestrial,1982,"439,251,124","357,852,418","797,103,542"
Pirates of the Caribbean: Dead Men Tell No Tales,2017,"172,558,876","622,195,139","794,754,015"
Harry Potter and the Prisoner of Azkaban,2004,"249,358,727","540,000,000","789,358,727"
Furious 6,2013,"238,679,850","550,000,000","788,679,850"
Indiana Jones and the Kingdom of the Crystal Skull,2008,"317,101,119","469,534,914","786,636,033"
Deadpool,2016,"363,070,709","420,700,000","783,770,709"
Spider-Man 2,2004,"373,585,825","410,180,516","783,766,341"
Guardians of the Galaxy,2014,"333,176,600","441,000,000","774,176,600"
Zhan lang II,2017,"2,721,100","771,174,624","773,895,724"
2012,2009/I,"166,112,167","603,567,306","769,679,473"
Incredibles 2,2018,"608,581,744","157,000,000","765,581,744"
Maleficent,2014,"241,410,378","517,129,407","758,539,785"
The Da Vinci Code,2006,"217,536,138","540,703,713","758,239,851"
The Amazing Spider-Man,2012,"262,030,663","495,900,000","757,930,663"
The Hunger Games: Mockingjay - Part 1,2014,"337,135,885","418,220,826","755,356,711"
Fast & Furious Presents: Hobbs & Shaw,2019,"173,788,145","579,500,000","753,288,145"
Shrek Forever After,2010,"238,371,987","514,228,880","752,600,867"
X-Men: Days of Future Past,2014,"233,921,534","514,200,000","748,121,534"
Madagascar 3: Europe's Most Wanted,2012,"216,391,482","530,529,792","746,921,274"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,"291,709,845","453,303,270","745,013,115"
Monsters University,2013,"268,492,764","475,066,843","743,559,607"
The Matrix Reloaded,2003,"281,492,479","460,635,982","742,128,461"
Up,2009,"293,004,164","438,338,580","731,342,744"
Gravity,2013,"274,092,705","449,100,000","723,192,705"
Captain America: The Winter Soldier,2014,"259,766,572","455,000,000","714,766,572"
The Twilight Saga: Breaking Dawn - Part 1,2011,"281,287,133","430,884,723","712,171,856"
Dawn of the Planet of the Apes,2014,"208,545,589","502,098,977","710,644,566"
The Twilight Saga: New Moon,2009,"296,623,634","413,203,828","709,827,462"
Transformers,2007,"319,246,193","390,463,587","709,709,780"
The Amazing Spider-Man 2,2014,"202,853,933","506,128,390","708,982,323"
Aquaman,2018,"335,061,807","370,000,000","705,061,807"
Mission: Impossible - Rogue Nation,2015,"195,042,377","505,825,986","700,868,363"
The Twilight Saga: Eclipse,2010,"300,531,751","397,959,596","698,491,347"
Mission: Impossible - Ghost Protocol,2011,"209,397,903","485,315,477","694,713,380"
The Hunger Games,2012,"408,010,692","286,384,032","694,394,724"
Jumanji: The Next Level,2019,"316,831,246","374,000,000","690,831,246"
Forrest Gump,1994,"330,252,182","347,693,217","677,945,399"
Doctor Strange,2016,"232,641,920","445,076,475","677,718,395"
Interstellar,2014,"188,020,017","487,000,000","675,020,017"
The Sixth Sense,1999,"293,506,292","379,300,000","672,806,292"
Man of Steel,2013,"291,045,518","377,000,000","668,045,518"
Kung Fu Panda 2,2011,"165,249,063","500,443,218","665,692,281"
Ice Age: The Meltdown,2006,"195,330,621","465,610,159","660,940,780"
It,2017/I,"327,481,748","332,800,000","660,281,748"
Big Hero 6,2014,"222,527,828","435,300,000","657,827,828"
Justice League,2017,"229,024,295","427,000,000","656,024,295"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,"305,413,918","348,850,097","654,264,015"
The Hunger Games: Mockingjay - Part 2,2015,"281,723,902","371,704,359","653,428,261"
Star Wars,1977,"460,935,665","190,000,000","650,935,665"
Star Wars: Episode II - Attack of the Clones,2002,"310,675,583","338,721,588","649,397,171"
Thor: The Dark World,2013,"206,362,140","438,421,000","644,783,140"
Moana,2016/I,"248,757,044","394,574,067","643,331,111"
Kung Fu Panda,2008,"215,434,591","418,000,000","633,434,591"
The Incredibles,2004,"261,441,092","371,600,000","633,041,092"
The Martian,2015,"228,433,663","400,847,620","629,281,283"
Fast Five,2011,"209,837,675","416,300,000","626,137,675"
Hancock,2008,"227,946,274","396,440,472","624,386,746"
Men in Black 3,2012,"179,020,854","445,005,922","624,026,776"
Iron Man 2,2010,"312,433,331","311,500,000","623,933,331"
Ratatouille,2007,"206,445,654","417,277,164","623,722,818"
How to Train Your Dragon 2,2014,"177,002,924","444,534,595","621,537,519"
The Lost World: Jurassic Park,1997,"229,086,679","389,552,320","618,638,999"
Logan,2017,"226,277,068","389,948,866","616,225,934"
Deadpool 2,2018,"324,469,609","291,600,000","616,069,609"
